"locus"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PROKKA_01303_sense"	10.865772754551	-0.167171317033048	0.29115768757255	-0.573641277547879	0.566210573231426	0.999614234190279
"PROKKA_01304_igtop"	16.3517952168353	-0.539879864672391	0.291844557297647	-1.84620567249667	0.0648623476382723	0.812793552158232
"PROKKA_01304_antis"	4.09466073641076	-0.0558580142867536	0.26053285057921	-0.214105957898315	0.830464429797213	NA
"PROKKA_01305_igbot"	1.52967395182126	-0.119471470740079	0.1940452526388	-0.649554402982409	0.515980094330104	NA
"PROKKA_01305_sense"	23.0623038367964	0.330041626412927	0.286563247429398	1.15258324844779	0.249081482183662	0.999614234190279
"PROKKA_01306_igtop"	4.2607616978621	-0.230787691393149	0.262820124514809	-0.881503882728516	0.378045153415271	NA
"PROKKA_01306_sense"	149.4835524176	-0.444863822422937	0.23799176371756	-1.86784421165799	0.0617837889079883	0.798332394884207
"PROKKA_01306_antis"	4.51539648623823	-0.0545780886431727	0.265014731418862	-0.205031070257021	0.837547850099288	NA
"PROKKA_01307_sense"	15.5186607156725	-0.300718791343772	0.291120548661885	-1.03095246095526	0.302563113496902	0.999614234190279
"PROKKA_01307_antis"	7.11065470325929	0.0882163638864973	0.275778469846707	0.32306806516614	0.746643694820997	NA
"PROKKA_01308_sense"	3.89417739951941	-0.250210976549019	0.247691756839011	-1.03948073989249	0.298581210938024	NA
"PROKKA_01309_igtop"	7.11430142922315	0.0543225398963812	0.281856545100962	0.194219638508382	0.846003906341108	NA
"PROKKA_01309_igbot"	32.6661480128749	0.0475224779946339	0.279639503472985	0.169544971022276	0.865368002571239	0.999614234190279
"PROKKA_01309_sense"	65.7959099538876	-0.161257476792108	0.270329823460625	-0.596922583033102	0.550559068999023	0.999614234190279
"PROKKA_01309_antis"	2.83333253800542	-0.350181288573614	0.239949207222988	-1.46080688652807	0.144068445418129	NA
"PROKKA_01310_sense"	3.98762681253011	0.177583151273755	0.254695774414435	0.709957065594605	0.477730761093704	NA
"PROKKA_01311_sense"	3.38516888571348	-0.239907959958539	0.250976338864928	-0.964647049346679	0.334721625137844	NA
"PROKKA_01311_antis"	1.82425568726861	-0.122954594201683	0.209837867967327	-0.592008700369096	0.553844762342531	NA
"PROKKA_01312_sense"	1.58428653239252	0.0390095976421998	0.202839269863247	0.192226586032545	0.847564721579424	NA
