"locus"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"PROKKA_00012_antis"	3.40462398836667	-0.118103500289631	0.404836517298548	0.0866927682552278	NA
"PROKKA_00013_igtop"	5.32722178595968	0.0344116839718357	0.220493347308401	0.451399477533249	NA
"PROKKA_00013_sense"	34.0238338000984	0.0264258044015083	0.151277840626417	0.615783614549407	0.980842662885179
"PROKKA_00013_antis"	12.3775415829732	0.0344202531652527	0.175517133491972	0.479063842675322	0.967259102845676
"PROKKA_00014_sense"	5.27089483591561	0.0178319195236634	0.196222920761083	0.681738212186678	NA
"PROKKA_00014_antis"	3.13150226925936	-0.0207328176674014	0.221492471179558	0.630524119698744	NA
"PROKKA_00015_igtop"	7.49082056372064	0.0518568608374792	0.220127936318162	0.298829815130803	0.900642603911699
"PROKKA_00015_igbot"	12.7796238309107	0.0122316558499423	0.166126855595158	0.792348978188862	0.993812860669009
"PROKKA_00015_sense"	10.9798628413657	0.0469620137620602	0.197081137947475	0.343540497640942	0.923166038903624
"PROKKA_00016_igbot"	15.461462185576	-0.0204556118182161	0.162309127029599	0.67301375741906	0.986053833939652
"PROKKA_00016_sense"	137.350558284933	-0.00589343670479638	0.127869861529461	0.920032642233901	0.997031032297927
"PROKKA_00016_antis"	4.181794673501	-0.0345225243484116	0.225203232678517	0.449316739765834	NA
"PROKKA_00017_sense"	33.230407684238	0.0357949991394926	0.153378778564217	0.505138197852548	0.96894350429005
"PROKKA_00018_sense"	43.6646092400232	0.044577166007904	0.158880523468061	0.410533398515741	0.950924862531917
"PROKKA_00019_igbot"	4.56946617725169	0.031856575888055	0.22342564089565	0.479921583539889	NA
"PROKKA_00019_sense"	605.269527104923	0.0536862121790597	0.132781870068584	0.387928233287531	0.943815486063781
"PROKKA_00019_antis"	7.70871302980826	0.0261887424008907	0.186792497185697	0.565430265408885	0.970262737107923
"PROKKA_00020_igtop"	125.032221298854	-0.0480292538244432	0.143712871873508	0.413776440476525	0.951702112404381
"PROKKA_00020_igbot"	228.689051918489	-0.134529507032916	0.172629195140547	0.0666313642652306	0.600772401827218
"PROKKA_00020_sense"	292.453890577166	-0.0191430550606143	0.123841872058613	0.75062002087986	0.99042735764765
"PROKKA_00020_antis"	2.64786057695975	-0.029640510887062	0.241017066662399	0.504067540115991	NA
"PROKKA_00022_igtop"	52.0055026587066	0.00745552935442501	0.144654742618113	0.888154225295551	0.997031032297927
"PROKKA_00022_sense"	11.8860093253371	0.0018863475051843	0.171697582086465	0.966325041393239	0.997031032297927
"PROKKA_00022_antis"	7.46811923325692	0.0184212145700892	0.181914430027662	0.680245117284946	0.986795542543509
"PROKKA_00023_sense"	17.2958510785188	0.0329782439866801	0.170278938055133	0.502273073360363	0.96851516032602
"PROKKA_00023_antis"	5.54289109234173	0.0366504878987915	0.219267354591661	0.427761100920816	NA
"PROKKA_00024_igtop"	11.502988475267	0.0194669562545535	0.178130150104005	0.667506183270991	0.986053833939652
"PROKKA_00024_sense"	130.727147498416	0.1196038968886	0.177188936743226	0.0867012124931669	0.661826120068585
"PROKKA_00024_antis"	7.3359702743052	-0.0369382471859593	0.197078392505047	0.433083192181017	0.960275721914636
"PROKKA_00025_igtop"	3.38456693380407	0.034262314136974	0.251741175713758	0.448275504523928	NA
"PROKKA_00025_sense"	24.0362241156388	0.0498569234896518	0.164829100652801	0.35725639360834	0.932275968747513
"PROKKA_00025_antis"	1.83149777831919	-0.00269399578128351	0.243796028671544	0.947434115139381	NA
"PROKKA_00026_igtop"	30.172066119483	-0.0711568135636115	0.202611510728523	0.201587203665609	0.836634623564414
"PROKKA_00026_sense"	12.2074037834113	0.0124233987803315	0.169729809211173	0.785848953204862	0.992986038769483
